,Rank,Song,Artist,Year,Genre
2388,24,I Was Jack (You Were Diane),Jake Owen,2018,hot-country
2389,25,Life Changes,Thomas Rhett,2018,hot-country
2390,26,Beautiful Crazy,Luke Combs,2018,hot-country
2391,27,I Lived It,Blake Shelton,2018,hot-country
2392,28,"Woman, Amen",Dierks Bentley,2018,hot-country
2393,29,All On Me,Devin Dawson,2018,hot-country
2394,30,Blue Tacoma,Russell Dickerson,2018,hot-country
2395,31,Yours,Russell Dickerson,2018,hot-country
2396,32,Speechless,Dan + Shay,2018,hot-country
2397,33,Hangin' On,Chris Young,2018,hot-country
2398,34,The Long Way,Brett Eldredge,2018,hot-country
2399,35,Babe,Sugarland Featuring Taylor Swift,2018,hot-country
2400,36,Written In The Sand,Old Dominion,2018,hot-country
2401,37,What Ifs,Kane Brown Featuring Lauren Alaina,2018,hot-country
2402,38,Everything's Gonna Be Alright,David Lee Murphy & Kenny Chesney,2018,hot-country
2403,39,Cry Pretty,Carrie Underwood,2018,hot-country
2404,40,For The First Time,Darius Rucker,2018,hot-country
2405,41,Greatest Love Story,LANCO,2018,hot-country
2406,42,Kiss Somebody,Morgan Evans,2018,hot-country
2407,43,Best Shot,Jimmie Allen,2018,hot-country
2408,44,Rich,Maren Morris,2018,hot-country
2409,45,Coming Home,Keith Urban Featuring Julia Michaels,2018,hot-country
2410,46,Body Like A Back Road,Sam Hunt,2018,hot-country
2411,47,I'll Name The Dogs,Blake Shelton,2018,hot-country
2412,48,You Broke Up With Me,Walker Hayes,2018,hot-country
2413,49,Born To Love You,LANCO,2018,hot-country
2414,50,Drunk Me,Mitchell Tenpenny,2018,hot-country
2415,51,Like I Loved You,Brett Young,2018,hot-country
2416,52,Desperate Man,Eric Church,2018,hot-country
2417,53,She's With Me,High Valley,2018,hot-country
2418,54,Losing Sleep,Chris Young,2018,hot-country
2419,55,Heart Break,Lady Antebellum,2018,hot-country
2420,56,Female,Keith Urban,2018,hot-country
2421,57,Millionaire,Chris Stapleton,2018,hot-country
2422,58,Unforgettable,Thomas Rhett,2018,hot-country
2423,59,Boy,Lee Brice,2018,hot-country
2424,60,Get To You,Michael Ray,2018,hot-country
2425,61,Hide The Wine,Carly Pearce,2018,hot-country
2426,62,Legends,Kelsea Ballerini,2018,hot-country
2427,63,Round Here Buzz,Eric Church,2018,hot-country
2428,64,Light It Up,Luke Bryan,2018,hot-country
2429,65,When It Rains It Pours,Luke Combs,2018,hot-country
2430,66,Burning Man,Dierks Bentley Featuring Brothers Osborne,2018,hot-country
2431,67,Happens Like That,Granger Smith,2018,hot-country
2432,68,All Day Long,Garth Brooks,2018,hot-country
2433,69,Last Shot,Kip Moore,2018,hot-country
2434,70,I Could Use A Love Song,Maren Morris,2018,hot-country
2435,71,Kinda Don't Care,Justin Moore,2018,hot-country
2436,72,Downtown's Dead,Sam Hunt,2018,hot-country
2437,73,I Hate Love Songs,Kelsea Ballerini,2018,hot-country
2438,74,A Girl Like You,Easton Corbin,2018,hot-country
2439,75,Shoot Me Straight,Brothers Osborne,2018,hot-country
2440,76,She Ain't In It,Jon Pardi,2018,hot-country
2441,77,Criminal,Lindsay Ell,2018,hot-country
2442,78,Ones That Like Me,Brantley Gilbert,2018,hot-country
2443,79,Burn Out,Midland,2018,hot-country
2444,80,Good Girl,Dustin Lynch,2018,hot-country
2445,81,The Rest Of Our Life,Tim McGraw & Faith Hill,2018,hot-country
2446,82,Take It From Me,Jordan Davis,2018,hot-country
2447,83,Must've Never Met You,Luke Combs,2018,hot-country
2448,84,Three Chords & The Truth,Chase Rice,2018,hot-country
2449,85,Make A Little,Midland,2018,hot-country
2450,86,Turnin' Me On,Blake Shelton,2018,hot-country
2451,87,This Is It,Scotty McCreery,2018,hot-country
2452,88,"Houston, We Got A Problem",Luke Combs,2018,hot-country
2453,89,I'd Be Jealous Too,Dustin Lynch,2018,hot-country
2454,90,Down To The Honkytonk,Jake Owen,2018,hot-country
2455,91,Famous,Mason Ramsey,2018,hot-country
2456,92,Outta Style,Aaron Watson,2018,hot-country
2457,93,A Little Dive Bar In Dahlonega,Ashley McBryde,2018,hot-country
2458,94,David Ashley Parker From Powder Springs,Travis Denning,2018,hot-country
2459,95,Doin' Fine,Lauren Alaina,2018,hot-country
2460,96,The Difference,Tyler Rich,2018,hot-country
2461,97,On My Way To You,Cody Johnson,2018,hot-country
2462,98,Love Wins,Carrie Underwood,2018,hot-country
2463,99,Girl Like You,Jason Aldean,2018,hot-country
2464,100,Caught Up In The Country,Rodney Atkins Featuring The Fisk Jubilee Singers,2018,hot-country
2465,1,Use Somebody,Kings Of Leon,2005,hot-rock
2466,2,Second Chance,Shinedown,2005,hot-rock
2467,3,New Divide,Linkin Park,2005,hot-rock
2468,4,Sex On Fire,Kings Of Leon,2005,hot-rock
2469,5,Panic Switch,Silversun Pickups,2005,hot-rock
2470,6,I Don't Care,Apocalyptica Featuring Adam Gontier,2005,hot-rock
2471,7,Feel Good Drag,Anberlin,2005,hot-rock
2472,8,Sound Of Madness,Shinedown,2005,hot-rock
2473,9,Lifeline,Papa Roach,2005,hot-rock
2474,10,Know Your Enemy,Green Day,2005,hot-rock
2475,11,Love Hurts,Incubus,2005,hot-rock
2476,12,Do What You Do,Mudvayne,2005,hot-rock
2477,13,Ain't No Rest For The Wicked,Cage The Elephant,2005,hot-rock
2478,14,Jars,Chevelle,2005,hot-rock
2479,15,"You're Gonna Go Far, Kid",The Offspring,2005,hot-rock
2480,16,The Fixer,Pearl Jam,2005,hot-rock
2481,17,Breakdown,Seether,2005,hot-rock
2482,18,Check My Brain,Alice In Chains,2005,hot-rock
2483,19,Kids,MGMT,2005,hot-rock
2484,20,Indestructible,Disturbed,2005,hot-rock
2485,21,Careless Whisper,Seether,2005,hot-rock
2486,22,Something In Your Mouth,Nickelback,2005,hot-rock
2487,23,Sometime Around Midnight,The Airborne Toxic Event,2005,hot-rock
2488,24,21 Guns,Green Day,2005,hot-rock
2489,25,Champagne,Cavo,2005,hot-rock
2490,26,You're Going Down,Sick Puppies,2005,hot-rock
2491,27,Burn It To The Ground,Nickelback,2005,hot-rock
2492,28,Cyanide,Metallica,2005,hot-rock
2493,29,I Will Not Bow,Breaking Benjamin,2005,hot-rock
2494,30,Whiskey Hangover,Godsmack,2005,hot-rock
2495,31,The Night,Disturbed,2005,hot-rock
2496,32,Audience Of One,Rise Against,2005,hot-rock
2497,33,Uprising,Muse,2005,hot-rock
2498,34,Savior,Rise Against,2005,hot-rock
2499,35,Dead Memories,Slipknot,2005,hot-rock
2500,36,Hate My Life,Theory Of A Deadman,2005,hot-rock
2501,37,Notion,Kings Of Leon,2005,hot-rock
2502,38,(If You're Wondering If I Want You To) I Want You To,Weezer,2005,hot-rock
2503,39,Break,Three Days Grace,2005,hot-rock
2504,40,Brother,Pearl Jam,2005,hot-rock
2505,41,Decode,Paramore,2005,hot-rock
2506,42,Wheels,Foo Fighters,2005,hot-rock
2507,43,Drowning (Face Down),Saving Abel,2005,hot-rock
2508,44,I Get Off,Halestorm,2005,hot-rock
2509,45,Seasons,The Veer Union,2005,hot-rock
2510,46,No You Girls,Franz Ferdinand,2005,hot-rock
2511,47,Bad Girlfriend,Theory Of A Deadman,2005,hot-rock
2512,48,18 Days,Saving Abel,2005,hot-rock
2513,49,Overcome,Creed,2005,hot-rock
2514,50,Rock N Roll Train,AC/DC,2005,hot-rock
2515,1,Use Somebody,Kings Of Leon,2006,hot-rock
2516,2,Second Chance,Shinedown,2006,hot-rock
2517,3,New Divide,Linkin Park,2006,hot-rock
2518,4,Sex On Fire,Kings Of Leon,2006,hot-rock
2519,5,Panic Switch,Silversun Pickups,2006,hot-rock
2520,6,I Don't Care,Apocalyptica Featuring Adam Gontier,2006,hot-rock
2521,7,Feel Good Drag,Anberlin,2006,hot-rock
2522,8,Sound Of Madness,Shinedown,2006,hot-rock
2523,9,Lifeline,Papa Roach,2006,hot-rock
2524,10,Know Your Enemy,Green Day,2006,hot-rock
2525,11,Love Hurts,Incubus,2006,hot-rock
2526,12,Do What You Do,Mudvayne,2006,hot-rock
2527,13,Ain't No Rest For The Wicked,Cage The Elephant,2006,hot-rock
2528,14,Jars,Chevelle,2006,hot-rock
2529,15,"You're Gonna Go Far, Kid",The Offspring,2006,hot-rock
2530,16,The Fixer,Pearl Jam,2006,hot-rock
2531,17,Breakdown,Seether,2006,hot-rock
2532,18,Check My Brain,Alice In Chains,2006,hot-rock
2533,19,Kids,MGMT,2006,hot-rock
2534,20,Indestructible,Disturbed,2006,hot-rock
2535,21,Careless Whisper,Seether,2006,hot-rock
2536,22,Something In Your Mouth,Nickelback,2006,hot-rock
2537,23,Sometime Around Midnight,The Airborne Toxic Event,2006,hot-rock
2538,24,21 Guns,Green Day,2006,hot-rock
2539,25,Champagne,Cavo,2006,hot-rock
2540,26,You're Going Down,Sick Puppies,2006,hot-rock
2541,27,Burn It To The Ground,Nickelback,2006,hot-rock
2542,28,Cyanide,Metallica,2006,hot-rock
2543,29,I Will Not Bow,Breaking Benjamin,2006,hot-rock
2544,30,Whiskey Hangover,Godsmack,2006,hot-rock
2545,31,The Night,Disturbed,2006,hot-rock
2546,32,Audience Of One,Rise Against,2006,hot-rock
2547,33,Uprising,Muse,2006,hot-rock
2548,34,Savior,Rise Against,2006,hot-rock
2549,35,Dead Memories,Slipknot,2006,hot-rock
2550,36,Hate My Life,Theory Of A Deadman,2006,hot-rock
2551,37,Notion,Kings Of Leon,2006,hot-rock
2552,38,(If You're Wondering If I Want You To) I Want You To,Weezer,2006,hot-rock
2553,39,Break,Three Days Grace,2006,hot-rock
2554,40,Brother,Pearl Jam,2006,hot-rock
2555,41,Decode,Paramore,2006,hot-rock
2556,42,Wheels,Foo Fighters,2006,hot-rock
2557,43,Drowning (Face Down),Saving Abel,2006,hot-rock
2558,44,I Get Off,Halestorm,2006,hot-rock
2559,45,Seasons,The Veer Union,2006,hot-rock
2560,46,No You Girls,Franz Ferdinand,2006,hot-rock
2561,47,Bad Girlfriend,Theory Of A Deadman,2006,hot-rock
2562,48,18 Days,Saving Abel,2006,hot-rock
2563,49,Overcome,Creed,2006,hot-rock
2564,50,Rock N Roll Train,AC/DC,2006,hot-rock
2565,1,Use Somebody,Kings Of Leon,2007,hot-rock
2566,2,Second Chance,Shinedown,2007,hot-rock
2567,3,New Divide,Linkin Park,2007,hot-rock
2568,4,Sex On Fire,Kings Of Leon,2007,hot-rock
2569,5,Panic Switch,Silversun Pickups,2007,hot-rock
2570,6,I Don't Care,Apocalyptica Featuring Adam Gontier,2007,hot-rock
2571,7,Feel Good Drag,Anberlin,2007,hot-rock
2572,8,Sound Of Madness,Shinedown,2007,hot-rock
2573,9,Lifeline,Papa Roach,2007,hot-rock
2574,10,Know Your Enemy,Green Day,2007,hot-rock
2575,11,Love Hurts,Incubus,2007,hot-rock
2576,12,Do What You Do,Mudvayne,2007,hot-rock
2577,13,Ain't No Rest For The Wicked,Cage The Elephant,2007,hot-rock
2578,14,Jars,Chevelle,2007,hot-rock
2579,15,"You're Gonna Go Far, Kid",The Offspring,2007,hot-rock
2580,16,The Fixer,Pearl Jam,2007,hot-rock
2581,17,Breakdown,Seether,2007,hot-rock
2582,18,Check My Brain,Alice In Chains,2007,hot-rock
2583,19,Kids,MGMT,2007,hot-rock
2584,20,Indestructible,Disturbed,2007,hot-rock
2585,21,Careless Whisper,Seether,2007,hot-rock
2586,22,Something In Your Mouth,Nickelback,2007,hot-rock
2587,23,Sometime Around Midnight,The Airborne Toxic Event,2007,hot-rock
2588,24,21 Guns,Green Day,2007,hot-rock
2589,25,Champagne,Cavo,2007,hot-rock
2590,26,You're Going Down,Sick Puppies,2007,hot-rock
2591,27,Burn It To The Ground,Nickelback,2007,hot-rock
2592,28,Cyanide,Metallica,2007,hot-rock
2593,29,I Will Not Bow,Breaking Benjamin,2007,hot-rock
2594,30,Whiskey Hangover,Godsmack,2007,hot-rock
2595,31,The Night,Disturbed,2007,hot-rock
2596,32,Audience Of One,Rise Against,2007,hot-rock
2597,33,Uprising,Muse,2007,hot-rock
2598,34,Savior,Rise Against,2007,hot-rock
2599,35,Dead Memories,Slipknot,2007,hot-rock
2600,36,Hate My Life,Theory Of A Deadman,2007,hot-rock
2601,37,Notion,Kings Of Leon,2007,hot-rock
2602,38,(If You're Wondering If I Want You To) I Want You To,Weezer,2007,hot-rock
2603,39,Break,Three Days Grace,2007,hot-rock
2604,40,Brother,Pearl Jam,2007,hot-rock
2605,41,Decode,Paramore,2007,hot-rock
2606,42,Wheels,Foo Fighters,2007,hot-rock
2607,43,Drowning (Face Down),Saving Abel,2007,hot-rock
2608,44,I Get Off,Halestorm,2007,hot-rock
2609,45,Seasons,The Veer Union,2007,hot-rock
2610,46,No You Girls,Franz Ferdinand,2007,hot-rock
2611,47,Bad Girlfriend,Theory Of A Deadman,2007,hot-rock
2612,48,18 Days,Saving Abel,2007,hot-rock
2613,49,Overcome,Creed,2007,hot-rock
2614,50,Rock N Roll Train,AC/DC,2007,hot-rock
2615,1,Use Somebody,Kings Of Leon,2008,hot-rock
2616,2,Second Chance,Shinedown,2008,hot-rock
2617,3,New Divide,Linkin Park,2008,hot-rock
2618,4,Sex On Fire,Kings Of Leon,2008,hot-rock
2619,5,Panic Switch,Silversun Pickups,2008,hot-rock
2620,6,I Don't Care,Apocalyptica Featuring Adam Gontier,2008,hot-rock
2621,7,Feel Good Drag,Anberlin,2008,hot-rock
2622,8,Sound Of Madness,Shinedown,2008,hot-rock
2623,9,Lifeline,Papa Roach,2008,hot-rock
2624,10,Know Your Enemy,Green Day,2008,hot-rock
2625,11,Love Hurts,Incubus,2008,hot-rock
2626,12,Do What You Do,Mudvayne,2008,hot-rock
2627,13,Ain't No Rest For The Wicked,Cage The Elephant,2008,hot-rock
2628,14,Jars,Chevelle,2008,hot-rock
2629,15,"You're Gonna Go Far, Kid",The Offspring,2008,hot-rock
2630,16,The Fixer,Pearl Jam,2008,hot-rock
2631,17,Breakdown,Seether,2008,hot-rock
2632,18,Check My Brain,Alice In Chains,2008,hot-rock
2633,19,Kids,MGMT,2008,hot-rock
2634,20,Indestructible,Disturbed,2008,hot-rock
2635,21,Careless Whisper,Seether,2008,hot-rock
2636,22,Something In Your Mouth,Nickelback,2008,hot-rock
2637,23,Sometime Around Midnight,The Airborne Toxic Event,2008,hot-rock
2638,24,21 Guns,Green Day,2008,hot-rock
2639,25,Champagne,Cavo,2008,hot-rock
2640,26,You're Going Down,Sick Puppies,2008,hot-rock
2641,27,Burn It To The Ground,Nickelback,2008,hot-rock
2642,28,Cyanide,Metallica,2008,hot-rock
2643,29,I Will Not Bow,Breaking Benjamin,2008,hot-rock
2644,30,Whiskey Hangover,Godsmack,2008,hot-rock
2645,31,The Night,Disturbed,2008,hot-rock
2646,32,Audience Of One,Rise Against,2008,hot-rock
2647,33,Uprising,Muse,2008,hot-rock
2648,34,Savior,Rise Against,2008,hot-rock
2649,35,Dead Memories,Slipknot,2008,hot-rock
2650,36,Hate My Life,Theory Of A Deadman,2008,hot-rock
2651,37,Notion,Kings Of Leon,2008,hot-rock
2652,38,(If You're Wondering If I Want You To) I Want You To,Weezer,2008,hot-rock
2653,39,Break,Three Days Grace,2008,hot-rock
2654,40,Brother,Pearl Jam,2008,hot-rock
2655,41,Decode,Paramore,2008,hot-rock
2656,42,Wheels,Foo Fighters,2008,hot-rock
2657,43,Drowning (Face Down),Saving Abel,2008,hot-rock
2658,44,I Get Off,Halestorm,2008,hot-rock
2659,45,Seasons,The Veer Union,2008,hot-rock
2660,46,No You Girls,Franz Ferdinand,2008,hot-rock
2661,47,Bad Girlfriend,Theory Of A Deadman,2008,hot-rock
2662,48,18 Days,Saving Abel,2008,hot-rock
2663,49,Overcome,Creed,2008,hot-rock
2664,50,Rock N Roll Train,AC/DC,2008,hot-rock
2665,1,Use Somebody,Kings Of Leon,2009,hot-rock
2666,2,Second Chance,Shinedown,2009,hot-rock
2667,3,New Divide,Linkin Park,2009,hot-rock
2668,4,Sex On Fire,Kings Of Leon,2009,hot-rock
2669,5,Panic Switch,Silversun Pickups,2009,hot-rock
2670,6,I Don't Care,Apocalyptica Featuring Adam Gontier,2009,hot-rock
2671,7,Feel Good Drag,Anberlin,2009,hot-rock
2672,8,Sound Of Madness,Shinedown,2009,hot-rock
2673,9,Lifeline,Papa Roach,2009,hot-rock
2674,10,Know Your Enemy,Green Day,2009,hot-rock
2675,11,Love Hurts,Incubus,2009,hot-rock
2676,12,Do What You Do,Mudvayne,2009,hot-rock
2677,13,Ain't No Rest For The Wicked,Cage The Elephant,2009,hot-rock
2678,14,Jars,Chevelle,2009,hot-rock
2679,15,"You're Gonna Go Far, Kid",The Offspring,2009,hot-rock
2680,16,The Fixer,Pearl Jam,2009,hot-rock
2681,17,Breakdown,Seether,2009,hot-rock
2682,18,Check My Brain,Alice In Chains,2009,hot-rock
2683,19,Kids,MGMT,2009,hot-rock
2684,20,Indestructible,Disturbed,2009,hot-rock
2685,21,Careless Whisper,Seether,2009,hot-rock
2686,22,Something In Your Mouth,Nickelback,2009,hot-rock
2687,23,Sometime Around Midnight,The Airborne Toxic Event,2009,hot-rock
2688,24,21 Guns,Green Day,2009,hot-rock
2689,25,Champagne,Cavo,2009,hot-rock
2690,26,You're Going Down,Sick Puppies,2009,hot-rock
2691,27,Burn It To The Ground,Nickelback,2009,hot-rock
2692,28,Cyanide,Metallica,2009,hot-rock
2693,29,I Will Not Bow,Breaking Benjamin,2009,hot-rock
2694,30,Whiskey Hangover,Godsmack,2009,hot-rock
2695,31,The Night,Disturbed,2009,hot-rock
2696,32,Audience Of One,Rise Against,2009,hot-rock
2697,33,Uprising,Muse,2009,hot-rock
2698,34,Savior,Rise Against,2009,hot-rock
2699,35,Dead Memories,Slipknot,2009,hot-rock
2700,36,Hate My Life,Theory Of A Deadman,2009,hot-rock
2701,37,Notion,Kings Of Leon,2009,hot-rock
2702,38,(If You're Wondering If I Want You To) I Want You To,Weezer,2009,hot-rock
2703,39,Break,Three Days Grace,2009,hot-rock
2704,40,Brother,Pearl Jam,2009,hot-rock
2705,41,Decode,Paramore,2009,hot-rock
2706,42,Wheels,Foo Fighters,2009,hot-rock
2707,43,Drowning (Face Down),Saving Abel,2009,hot-rock
2708,44,I Get Off,Halestorm,2009,hot-rock
2709,45,Seasons,The Veer Union,2009,hot-rock
2710,46,No You Girls,Franz Ferdinand,2009,hot-rock
2711,47,Bad Girlfriend,Theory Of A Deadman,2009,hot-rock
2712,48,18 Days,Saving Abel,2009,hot-rock
2713,49,Overcome,Creed,2009,hot-rock
2714,50,Rock N Roll Train,AC/DC,2009,hot-rock
2715,1,Savior,Rise Against,2010,hot-rock
2716,2,Uprising,Muse,2010,hot-rock
2717,3,I Will Not Bow,Breaking Benjamin,2010,hot-rock
2718,4,Break,Three Days Grace,2010,hot-rock
2719,5,Lay Me Down,The Dirty Heads Featuring Rome,2010,hot-rock
2720,6,1901,Phoenix,2010,hot-rock
2721,7,(If You're Wondering If I Want You To) I Want You To,Weezer,2010,hot-rock
2722,8,Your Decision,Alice In Chains,2010,hot-rock
2723,9,The Good Life,Three Days Grace,2010,hot-rock
2724,10,Lisztomania,Phoenix,2010,hot-rock
2725,11,Resistance,Muse,2010,hot-rock
2726,12,Animal,Neon Trees,2010,hot-rock
2727,13,If You Only Knew,Shinedown,2010,hot-rock
2728,14,The Crow & The Butterfly,Shinedown,2010,hot-rock
2729,15,Nightmare,Avenged Sevenfold,2010,hot-rock
2730,16,Kings And Queens,Thirty Seconds To Mars,2010,hot-rock
2731,17,Another Way To Die,Disturbed,2010,hot-rock
2732,18,Between The Lines,Stone Temple Pilots,2010,hot-rock
2733,19,Just Breathe,Pearl Jam,2010,hot-rock
2734,20,Say You'll Haunt Me,Stone Sour,2010,hot-rock
2735,21,Snuff,Slipknot,2010,hot-rock
2736,22,This Is War,Thirty Seconds To Mars,2010,hot-rock
2737,23,Letter From A Thief,Chevelle,2010,hot-rock
2738,24,In One Ear,Cage The Elephant,2010,hot-rock
2739,25,Cryin' Like A Bitch!,Godsmack,2010,hot-rock
2740,26,Again,Flyleaf,2010,hot-rock
2741,27,Little Lion Man,Mumford & Sons,2010,hot-rock
2742,28,Tighten Up,The Black Keys,2010,hot-rock
2743,29,Bad Company,Five Finger Death Punch,2010,hot-rock
2744,30,Wheels,Foo Fighters,2010,hot-rock
2745,31,Odd One,Sick Puppies,2010,hot-rock
2746,32,Back Against The Wall,Cage The Elephant,2010,hot-rock
2747,33,Let Me Hear You Scream,Ozzy Osbourne,2010,hot-rock
2748,34,Kick In The Teeth,Papa Roach,2010,hot-rock
2749,35,Give Me A Sign (Forever And Ever),Breaking Benjamin,2010,hot-rock
2750,36,You're Going Down,Sick Puppies,2010,hot-rock
2751,37,Check My Brain,Alice In Chains,2010,hot-rock
2752,38,Love-Hate-Sex-Pain,Godsmack,2010,hot-rock
2753,39,Crossfire,Brandon Flowers,2010,hot-rock
2754,40,The Catalyst,Linkin Park,2010,hot-rock
2755,41,Lesson Learned,Alice In Chains,2010,hot-rock
2756,42,Scream With Me,Mudvayne,2010,hot-rock
2757,43,Mountain Man,Crash Kings,2010,hot-rock
2758,44,New Fang,Them Crooked Vultures,2010,hot-rock
2759,45,Sweet Disposition,The Temper Trap,2010,hot-rock
2760,46,You And Your Heart,Jack Johnson,2010,hot-rock
2761,47,The High Road,Broken Bells,2010,hot-rock
2762,48,Radioactive,Kings Of Leon,2010,hot-rock
2763,49,Spaceship,Puddle Of Mudd,2010,hot-rock
2764,50,End Of Me,Apocalyptica Featuring Gavin Rossdale,2010,hot-rock
2765,1,Rope,Foo Fighters,2011,hot-rock
2766,2,Shake Me Down,Cage The Elephant,2011,hot-rock
2767,3,Walk,Foo Fighters,2011,hot-rock
2768,4,Pumped Up Kicks,Foster The People,2011,hot-rock
2769,5,Country Song,Seether,2011,hot-rock
2770,6,The Cave,Mumford & Sons,2011,hot-rock
2771,7,The Adventures Of Rain Dance Maggie,Red Hot Chili Peppers,2011,hot-rock
2772,8,Tighten Up,The Black Keys,2011,hot-rock
2773,9,Help Is On The Way,Rise Against,2011,hot-rock
2774,10,Waiting For The End,Linkin Park,2011,hot-rock
2775,11,Howlin' For You,The Black Keys,2011,hot-rock
2776,12,Say You'll Haunt Me,Stone Sour,2011,hot-rock
2777,13,Little Lion Man,Mumford & Sons,2011,hot-rock
2778,14,Lies Of The Beautiful People,Sixx: A.M.,2011,hot-rock
2779,15,Dog Days Are Over,Florence + The Machine,2011,hot-rock
2780,16,You Are A Tourist,Death Cab For Cutie,2011,hot-rock
2781,17,Animal,Neon Trees,2011,hot-rock
2782,18,The Sound Of Winter,Bush,2011,hot-rock
2783,19,Adolescents,Incubus,2011,hot-rock
2784,20,Sail,AWOLNATION,2011,hot-rock
2785,21,Burn,Papa Roach,2011,hot-rock
2786,22,Diamond Eyes (Boom-Lay Boom-Lay Boom),Shinedown,2011,hot-rock
2787,23,Every Teardrop Is A Waterfall,Coldplay,2011,hot-rock
2788,24,World So Cold,Three Days Grace,2011,hot-rock
2789,25,Rip Tide,Sick Puppies,2011,hot-rock
2790,26,Not Again,Staind,2011,hot-rock
2791,27,So Far Away,Avenged Sevenfold,2011,hot-rock
2792,28,Sing,My Chemical Romance,2011,hot-rock
2793,29,Isolation,Alter Bridge,2011,hot-rock
2794,30,Welcome To The Family,Avenged Sevenfold,2011,hot-rock
2795,31,Tonight,Seether,2011,hot-rock
2796,32,Undisclosed Desires,Muse,2011,hot-rock
2797,33,The Animal,Disturbed,2011,hot-rock
2798,34,Lowlife,Theory Of A Deadman,2011,hot-rock
2799,35,Make It Stop (September's Children),Rise Against,2011,hot-rock
2800,36,Panic,Sublime With Rome,2011,hot-rock
2801,37,Up All Night,Blink-182,2011,hot-rock
2802,38,Changing,The Airborne Toxic Event,2011,hot-rock
2803,39,Far From Home,Five Finger Death Punch,2011,hot-rock
2804,40,Awake And Alive,Skillet,2011,hot-rock
2805,41,New Low,Middle Class Rut,2011,hot-rock
2806,42,Porn Star Dancing,My Darkest Days Featuring Zakk Wylde,2011,hot-rock
2807,43,Roll Away Your Stone,Mumford & Sons,2011,hot-rock
2808,44,My Body,Young The Giant,2011,hot-rock
2809,45,Rolling In The Deep,Adele,2011,hot-rock
2810,46,Lost In You,Three Days Grace,2011,hot-rock
2811,47,Sick,Adelitas Way,2011,hot-rock
2812,48,Radioactive,Kings Of Leon,2011,hot-rock
2813,49,Ghost Of Days Gone By,Alter Bridge,2011,hot-rock
2814,50,Warrior,Disturbed,2011,hot-rock
2815,1,Lonely Boy,The Black Keys,2012,hot-rock
2816,2,These Days,Foo Fighters,2012,hot-rock
2817,3,Burn It Down,Linkin Park,2012,hot-rock
2818,4,Somebody That I Used To Know,Gotye Featuring Kimbra,2012,hot-rock
2819,5,Gold On The Ceiling,The Black Keys,2012,hot-rock
2820,6,Tongue Tied,Grouplove,2012,hot-rock
2821,7,Little Talks,Of Monsters And Men,2012,hot-rock
2822,8,We Are Young,fun. Featuring Janelle Monae,2012,hot-rock
2823,9,It's Time,Imagine Dragons,2012,hot-rock
2824,10,Ho Hey,The Lumineers,2012,hot-rock
2825,11,Face To The Floor,Chevelle,2012,hot-rock
2826,12,Midnight City,M83.,2012,hot-rock
2827,13,Some Nights,fun.,2012,hot-rock
2828,14,Too Close,Alex Clare,2012,hot-rock
2829,15,The Sound Of Winter,Bush,2012,hot-rock
2830,16,Bully,Shinedown,2012,hot-rock
2831,17,Walk,Foo Fighters,2012,hot-rock
2832,18,Paradise,Coldplay,2012,hot-rock
2833,19,I Will Wait,Mumford & Sons,2012,hot-rock
2834,20,Live To Rise,Soundgarden,2012,hot-rock
2835,21,Days Go By,The Offspring,2012,hot-rock
2836,22,Oh Love,Green Day,2012,hot-rock
2837,23,Hats Off To The Bull,Chevelle,2012,hot-rock
2838,24,Madness,Muse,2012,hot-rock
2839,25,Little Black Submarines,The Black Keys,2012,hot-rock
2840,26,Everybody Talks,Neon Trees,2012,hot-rock
2841,27,Don't Stop (Color On The Walls),Foster The People,2012,hot-rock
2842,28,Unity,Shinedown,2012,hot-rock
2843,29,Cough Syrup,Young The Giant,2012,hot-rock
2844,30,Chalk Outline,Three Days Grace,2012,hot-rock
2845,31,Tonight,Seether,2012,hot-rock
2846,32,Satellite,Rise Against,2012,hot-rock
2847,33,The Adventures Of Rain Dance Maggie,Red Hot Chili Peppers,2012,hot-rock
2848,34,Take A Walk,Passion Pit,2012,hot-rock
2849,35,Shake It Out,Florence + The Machine,2012,hot-rock
2850,36,Remember Everything,Five Finger Death Punch,2012,hot-rock
2851,37,Look Around,Red Hot Chili Peppers,2012,hot-rock
2852,38,No Resolution,Seether,2012,hot-rock
2853,39,Monarchy Of Roses,Red Hot Chili Peppers,2012,hot-rock
2854,40,Still Counting,Volbeat,2012,hot-rock
2855,41,Runaways,The Killers,2012,hot-rock
2856,42,Bloody Mary (Nerve Endings),Silversun Pickups,2012,hot-rock
2857,43,You're A Lie,Slash Featuring Myles Kennedy And The Conspirators,2012,hot-rock
2858,44,Coming Down,Five Finger Death Punch,2012,hot-rock
2859,45,A Warrior's Call,Volbeat,2012,hot-rock
2860,46,Kill Your Heroes,AWOLNATION,2012,hot-rock
2861,47,Not Your Fault,AWOLNATION,2012,hot-rock
2862,48,Lost In The Echo,Linkin Park,2012,hot-rock
2863,49,Rocky Mountain Way,Godsmack,2012,hot-rock
2864,50,I Miss The Misery,Halestorm,2012,hot-rock
2865,51,45,The Gaslight Anthem,2012,hot-rock
2866,52,Lost In Forever (Scream),P.O.D.,2012,hot-rock
2867,53,Bullet In My Hand,Redlight King,2012,hot-rock
2868,54,Wait For Me,Rise Against,2012,hot-rock
